# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   51       1.987205596502e-10       1.806083341860e-14       8.741144829027e-14       1.076935886865e-16       5.111812340508e-11       5.548917822119e-12      -8.861588047547e-15 
   52       2.014276057088e-10       1.920591473322e-14       6.128964386097e-14       1.119755236459e-16       4.897885892568e-11       5.336472408073e-12      -8.924222600908e-15 
   53       2.041584290345e-10       2.039288861858e-14       3.332725898689e-14       1.163413544206e-16       4.696082614982e-11       5.134392108396e-12      -9.021925495343e-15 
   54       2.069143570034e-10       2.162167617368e-14       3.510204877317e-15       1.207909463988e-16       4.505180324743e-11       4.942186626168e-12      -9.186487252782e-15 
   55       2.096959069783e-10       2.289216408755e-14      -2.817280191334e-14       1.253241581880e-16       4.323809671029e-11       4.759202012911e-12      -9.443623865543e-15 
   56       2.125049319622e-10       2.420437003912e-14      -6.173027052042e-14       1.299408709351e-16       4.151754862008e-11       4.585462978666e-12      -9.779446526419e-15 
   57       2.153428001912e-10       2.555831335452e-14      -9.716780927866e-14       1.346409656435e-16       3.988918687154e-11       4.420992664465e-12      -1.016597738438e-14 
   58       2.182096639747e-10       2.695396661321e-14      -1.344880424950e-13       1.394243147729e-16       3.834929022894e-11       4.265550568076e-12      -1.057044876199e-14 
   59       2.211043678779e-10       2.839125476745e-14      -1.736905526149e-13       1.442907822217e-16       3.689121861084e-11       4.118615907550e-12      -1.095508396987e-14 
   60       2.240243569038e-10       2.987005426186e-14      -2.147718223887e-13       1.492402233094e-16       3.550524337478e-11       3.979370984773e-12      -1.127687812121e-14 
   61       2.269669577616e-10       3.139011146433e-14      -2.577257569171e-13       1.542725009937e-16       3.418124556209e-11       3.846928278327e-12      -1.149742596708e-14 
