# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   59       2.253138533184e-10       2.941935658709e-14      -1.746573879846e-13       0.000000000000e+00       3.747560583739e-11       4.180542749232e-12      -1.117623844964e-14 
   60       2.283258606081e-10       3.096237554252e-14      -2.165690135197e-13       0.000000000000e+00       3.606721056317e-11       4.038673905722e-12      -1.150422799596e-14 
   61       2.313600175540e-10       3.254918525601e-14      -2.604095427806e-13       0.000000000000e+00       3.472165019916e-11       3.903722286804e-12      -1.172966390417e-14 
   62       2.344179006806e-10       3.417915821386e-14      -3.061734831453e-13       0.000000000000e+00       3.343759388355e-11       3.775507613168e-12      -1.185126191126e-14 
   63       2.375018004581e-10       3.585146801818e-14      -3.538532043892e-13       0.000000000000e+00       3.221510772400e-11       3.653926138790e-12      -1.187944066266e-14 
   64       2.406133854683e-10       3.756516495931e-14      -4.034382260360e-13       0.000000000000e+00       3.105285447668e-11       3.538710577845e-12      -1.182689310212e-14 
   65       2.437536542222e-10       3.931917241489e-14      -4.549151775860e-13       0.000000000000e+00       2.994801366251e-11       3.429421051417e-12      -1.170868728356e-14 
   66       2.469228869772e-10       4.111228324887e-14      -5.082677587440e-13       0.000000000000e+00       2.889620168349e-11       3.325436034218e-12      -1.154236718299e-14 
   67       2.501205975552e-10       4.294315621056e-14      -5.634766996480e-13       0.000000000000e+00       2.789139193895e-11       3.225943301302e-12      -1.134805351037e-14 
   68       2.533461563355e-10       4.481045763775e-14      -6.205212835026e-13       0.000000000000e+00       2.692752362133e-11       3.130147427675e-12      -1.114466729696e-14 
   69       2.566009135232e-10       4.671332795717e-14      -6.793843616498e-13       0.000000000000e+00       2.600388520734e-11       3.037961347323e-12      -1.093748674547e-14 
   70       2.598864215307e-10       4.865100367470e-14      -7.400482879049e-13       0.000000000000e+00       2.512068330926e-11       2.949439302375e-12      -1.072823858855e-14 
   71       2.632037714079e-10       5.062268054800e-14      -8.024934462467e-13       0.000000000000e+00       2.427741447515e-11       2.864569236841e-12      -1.051875384953e-14 
   72       2.665535618253e-10       5.262751370177e-14      -8.666982510045e-13       0.000000000000e+00       2.347282849386e-11       2.783269281762e-12      -1.031096949252e-14 
   73       2.699358680574e-10       5.466461774300e-14      -9.326391470459e-13       0.000000000000e+00       2.270489170006e-11       2.705384240369e-12      -1.010693007260e-14 
   74       2.733502109659e-10       5.673306687626e-14      -1.000290609964e-12       0.000000000000e+00       2.197075027924e-11       2.630682073226e-12      -9.908789385890e-15 
   75       2.767955259826e-10       5.883189501888e-14      -1.069625146265e-12       0.000000000000e+00       2.126669357274e-11       2.558850383388e-12      -9.718812119744e-15 
   76       2.802707687908e-10       6.096002705539e-14      -1.140612878557e-12       0.000000000000e+00       2.058907435744e-11       2.489578334509e-12      -9.539104796502e-15 
   77       2.837769284434e-10       6.311605787315e-14      -1.213220213374e-12       0.000000000000e+00       1.993734454315e-11       2.422827420753e-12      -9.370748313830e-15 
   78       2.873153267008e-10       6.529843305500e-14      -1.287410929633e-12       0.000000000000e+00       1.931150895381e-11       2.358603916715e-12      -9.214509481970e-15 
   79       2.908869962301e-10       6.750551288961e-14      -1.363146563898e-12       0.000000000000e+00       1.871120066729e-11       2.296876090364e-12      -9.071093859007e-15 
   80       2.944926626437e-10       6.973557107475e-14      -1.440386402053e-12       0.000000000000e+00       1.813566394399e-11       2.237572440072e-12      -8.941141849953e-15 
   81       2.981327265390e-10       7.198679342048e-14      -1.519087470983e-12       0.000000000000e+00       1.758373715534e-11       2.180579931633e-12      -8.825224805825e-15 
   82       3.018072455375e-10       7.425727655232e-14      -1.599204530249e-12       0.000000000000e+00       1.705383571244e-11       2.125742235291e-12      -8.723841122730e-15 
   83       3.055159163241e-10       7.654502661451e-14      -1.680690063769e-12       0.000000000000e+00       1.654393499455e-11       2.072857962761e-12      -8.637412340940e-15 
   84       3.092583675795e-10       7.884803387294e-14      -1.763494800352e-12       0.000000000000e+00       1.605206167400e-11       2.021730765710e-12      -8.565957790614e-15 
   85       3.130351339193e-10       8.116451357487e-14      -1.847569392704e-12       0.000000000000e+00       1.557789867116e-11       1.972333035524e-12      -8.508065101560e-15 
   86       3.168468112335e-10       8.349270282670e-14      -1.932863002804e-12       0.000000000000e+00       1.512141620444e-11       1.924666235344e-12      -8.461741080136e-15 
   87       3.206937476012e-10       8.583078822353e-14      -2.019322798343e-12       0.000000000000e+00       1.468237864912e-11       1.878710573267e-12      -8.424708821947e-15 
   88       3.245760305546e-10       8.817690582797e-14      -2.106893953298e-12       0.000000000000e+00       1.426033601043e-11       1.834424110989e-12      -8.394398408348e-15 
   89       3.284934743431e-10       9.052914114901e-14      -2.195519648492e-12       0.000000000000e+00       1.385461539654e-11       1.791741872456e-12      -8.367937602946e-15 
   90       3.324456071981e-10       9.288552912081e-14      -2.285141072160e-12       0.000000000000e+00       1.346431249163e-11       1.750574952502e-12      -8.342142548106e-15 
   91       3.364316585967e-10       9.524405408155e-14      -2.375697420519e-12       0.000000000000e+00       1.308828302890e-11       1.710809625500e-12      -8.313508461454e-15 
   92       3.404505465264e-10       9.760264975227e-14      -2.467125898332e-12       0.000000000000e+00       1.272513426362e-11       1.672306454005e-12      -8.278200332379e-15 
   93       3.445012438632e-10       9.995922940981e-14      -2.559362663852e-12       0.000000000000e+00       1.237355485087e-11       1.634934379145e-12      -8.232934781801e-15 
   94       3.485839681995e-10       1.023117816427e-13      -2.652345825007e-12       0.000000000000e+00       1.203337975267e-11       1.598680792875e-12      -8.177797566880e-15 
   95       3.526991482523e-10       1.046582890250e-13      -2.746012896985e-12       0.000000000000e+00       1.170467047272e-11       1.563556449602e-12      -8.113834599731e-15 
   96       3.568470532632e-10       1.069966995931e-13      -2.840299911356e-12       0.000000000000e+00       1.138738709272e-11       1.529561553858e-12      -8.042201431470e-15 
   97       3.610277854667e-10       1.093249272393e-13      -2.935141429599e-12       0.000000000000e+00       1.108138439063e-11       1.496685349126e-12      -7.964166181573e-15 
   98       3.652412725588e-10       1.116408521050e-13      -3.030470556633e-12       0.000000000000e+00       1.078640795896e-11       1.464905706685e-12      -7.881112467233e-15 
   99       3.694872601653e-10       1.139423209738e-13      -3.126218954343e-12       0.000000000000e+00       1.050209032301e-11       1.434188714434e-12      -7.794542332709e-15 
  100       3.737653043098e-10       1.162271476654e-13      -3.222316855115e-12       0.000000000000e+00       1.022794705914e-11       1.404488265731e-12      -7.706079178689e-15 
  101       3.780747638825e-10       1.184931134281e-13      -3.318693075361e-12       0.000000000000e+00       9.963372913037e-12       1.375745648226e-12      -7.617470691641e-15 
  102       3.824147931083e-10       1.207379673328e-13      -3.415275029049e-12       0.000000000000e+00       9.707637917979e-12       1.347889132693e-12      -7.530591773170e-15 
  103       3.867843340151e-10       1.229594266660e-13      -3.511988741234e-12       0.000000000000e+00       9.459883513080e-12       1.320833561868e-12      -7.447447469373e-15 
  104       3.911823605232e-10       1.251552330472e-13      -3.608759492901e-12       0.000000000000e+00       9.219316779730e-12       1.294500193160e-12      -7.369742753888e-15 
  105       3.956086644874e-10       1.273233285690e-13      -3.705513825567e-12       0.000000000000e+00       8.985831394035e-12       1.268880165118e-12      -7.297519380445e-15 
  106       4.000631622906e-10       1.294617042949e-13      -3.802177833956e-12       0.000000000000e+00       8.759463709822e-12       1.243978877738e-12      -7.230339492889e-15 
  107       4.045456479963e-10       1.315683476536e-13      -3.898676579083e-12       0.000000000000e+00       8.540200446938e-12       1.219796317857e-12      -7.167700519510e-15 
  108       4.090557885813e-10       1.336412434445e-13      -3.994934108724e-12       0.000000000000e+00       8.327976986634e-12       1.196326870553e-12      -7.109033342550e-15 
  109       4.135931191697e-10       1.356783748433e-13      -4.090873477879e-12       0.000000000000e+00       8.122675666949e-12       1.173559130553e-12      -7.053700467706e-15 
  110       4.181570382660e-10       1.376777244078e-13      -4.186416769243e-12       0.000000000000e+00       7.924124078100e-12       1.151475713633e-12      -7.000994193640e-15 
  111       4.227468029885e-10       1.396372750835e-13      -4.281485113668e-12       0.000000000000e+00       7.732093357860e-12       1.130053068025e-12      -6.950134781483e-15 
  112       4.273615243028e-10       1.415550112093e-13      -4.375998710635e-12       0.000000000000e+00       7.546296486951e-12       1.109261285821e-12      -6.900268624342e-15 
  113       4.320001622553e-10       1.434289195228e-13      -4.469876848717e-12       0.000000000000e+00       7.366386584423e-12       1.089063914373e-12      -6.850466416803e-15 
  114       4.366615212064e-10       1.452569901667e-13      -4.563037926048e-12       0.000000000000e+00       7.191955203042e-12       1.069417767703e-12      -6.799721324439e-15 
  115       4.413442450638e-10       1.470372176938e-13      -4.655399470790e-12       0.000000000000e+00       7.022530624673e-12       1.050272737903e-12      -6.746947153318e-15 
  116       4.460470189807e-10       1.487676552761e-13      -4.746879266316e-12       0.000000000000e+00       6.857681020891e-12       1.031582792950e-12      -6.691209637304e-15 
  117       4.507692124597e-10       1.504465826593e-13      -4.837398838206e-12       0.000000000000e+00       6.697341808205e-12       1.013340890289e-12      -6.632456115141e-15 
  118       4.555103058511e-10       1.520723606120e-13      -4.926880431612e-12       0.000000000000e+00       6.541525077300e-12       9.955479736875e-13      -6.570871543900e-15 
  119       4.602696879753e-10       1.536433810095e-13      -5.015245974379e-12       0.000000000000e+00       6.390217520078e-12       9.782020779298e-13      -6.506653547338e-15 
  120       4.650466531823e-10       1.551580683098e-13      -5.102417107283e-12       0.000000000000e+00       6.243379652226e-12       9.612982391273e-13      -6.440012646568e-15 
  121       4.698403984098e-10       1.566148810299e-13      -5.188315214260e-12       0.000000000000e+00       6.100945035798e-12       9.448284050303e-13      -6.371172490732e-15 
  122       4.746500202430e-10       1.580123132215e-13      -5.272861452647e-12       0.000000000000e+00       5.962819501787e-12       9.287813453397e-13      -6.300370087671e-15 
  123       4.794745119726e-10       1.593488959473e-13      -5.355976783410e-12       0.000000000000e+00       5.828880372703e-12       9.131425620176e-13      -6.227856034597e-15 
  124       4.843127606544e-10       1.606231987573e-13      -5.437582001382e-12       0.000000000000e+00       5.698975685145e-12       8.978941995989e-13      -6.153894748763e-15 
  125       4.891635441680e-10       1.618338311644e-13      -5.517597765499e-12       0.000000000000e+00       5.572923412378e-12       8.830149555028e-13      -6.078764698138e-15 
  126       4.940255282755e-10       1.629794441206e-13      -5.595944629031e-12       0.000000000000e+00       5.450510686909e-12       8.684799903435e-13      -6.002758632073e-15 
  127       4.988972636807e-10       1.640587314934e-13      -5.672543069817e-12       0.000000000000e+00       5.331493023064e-12       8.542608382421e-13      -5.926183811975e-15 
  128       5.037771830877e-10       1.650704315414e-13      -5.747313520503e-12       0.000000000000e+00       5.215593539558e-12       8.403253171374e-13      -5.849362241980e-15 
  129       5.086637637730e-10       1.660133744992e-13      -5.820177320426e-12       0.000000000000e+00       5.102562299304e-12       8.266450416983e-13      -5.772584630236e-15 
  130       5.135560417112e-10       1.668866280987e-13      -5.891059625126e-12       0.000000000000e+00       4.992363340068e-12       8.132190843963e-13      -5.695966072587e-15 
  131       5.184531485541e-10       1.676893708750e-13      -5.959886874638e-12       0.000000000000e+00       4.885006787646e-12       8.000527526715e-13      -5.619574899437e-15 
  132       5.233541494335e-10       1.684208492778e-13      -6.026585936910e-12       0.000000000000e+00       4.780490233974e-12       7.871501840635e-13      -5.543477426567e-15 
  133       5.282580412051e-10       1.690803794767e-13      -6.091084144639e-12       0.000000000000e+00       4.678798389883e-12       7.745143109247e-13      -5.467737854717e-15 
  134       5.331637506913e-10       1.696673491676e-13      -6.153309332096e-12       0.000000000000e+00       4.579902737854e-12       7.621468251324e-13      -5.392418169173e-15 
  135       5.380701329246e-10       1.701812193788e-13      -6.213189871957e-12       0.000000000000e+00       4.483761184767e-12       7.500481428022e-13      -5.317578039348e-15 
  136       5.429759693911e-10       1.706215262765e-13      -6.270654712133e-12       0.000000000000e+00       4.390317714655e-12       7.382173689998e-13      -5.243274718370e-15 
  137       5.478799662733e-10       1.709878829714e-13      -6.325633412600e-12       0.000000000000e+00       4.299502041454e-12       7.266522624549e-13      -5.169562942664e-15 
  138       5.527807526936e-10       1.712799813242e-13      -6.378056182226e-12       0.000000000000e+00       4.211229261758e-12       7.153492002726e-13      -5.096494831538e-15 
  139       5.576768789576e-10       1.714975937521e-13      -6.427853915604e-12       0.000000000000e+00       4.125399507573e-12       7.043031426473e-13      -5.024119786766e-15 
  140       5.625668147972e-10       1.716405750342e-13      -6.474958229878e-12       0.000000000000e+00       4.041897599064e-12       6.935075975746e-13      -4.952484392173e-15 
  141       5.674489476141e-10       1.717088641180e-13      -6.519301501575e-12       0.000000000000e+00       3.960592697312e-12       6.829545855644e-13      -4.881632313221e-15 
  142       5.723215807229e-10       1.717024859254e-13      -6.560816903434e-12       0.000000000000e+00       3.881337957062e-12       6.726346043534e-13      -4.811604196590e-15 
  143       5.771829315940e-10       1.716215531583e-13      -6.599438441234e-12       0.000000000000e+00       3.803970179482e-12       6.625365936182e-13      -4.742437569767e-15 
  144       5.820312787076e-10       1.714662861846e-13      -6.635101832161e-12       0.000000000000e+00       3.728343923971e-12       6.526502954342e-13      -4.674156761730e-15 
  145       5.868654221374e-10       1.712370710921e-13      -6.667747159741e-12       0.000000000000e+00       3.654438366882e-12       6.429736724226e-13      -4.606741757081e-15 
  146       5.916842652462e-10       1.709344108175e-13      -6.697316551877e-12       0.000000000000e+00       3.582260366584e-12       6.335061572589e-13      -4.540156066169e-15 
  147       5.964866692580e-10       1.705589094739e-13      -6.723753404113e-12       0.000000000000e+00       3.511810802482e-12       6.242463012672e-13      -4.474356271897e-15 
  148       6.012714523557e-10       1.701112742606e-13      -6.747002421301e-12       0.000000000000e+00       3.443084425816e-12       6.151917529020e-13      -4.409291871956e-15 
  149       6.060373887784e-10       1.695923173730e-13      -6.767009659267e-12       0.000000000000e+00       3.376069710450e-12       6.063392362292e-13      -4.344905121058e-15 
  150       6.107832079186e-10       1.690029579124e-13      -6.783722566475e-12       0.000000000000e+00       3.310748703667e-12       5.976845294077e-13      -4.281130873176e-15 
  151       6.155075934197e-10       1.683442237962e-13      -6.797090025697e-12       0.000000000000e+00       3.247096876959e-12       5.892224431709e-13      -4.217896423770e-15 
  152       6.202091822732e-10       1.676172536675e-13      -6.807062395674e-12       0.000000000000e+00       3.185082976825e-12       5.809467993078e-13      -4.155121352030e-15 
  153       6.248865639163e-10       1.668232988052e-13      -6.813591552786e-12       0.000000000000e+00       3.124668875559e-12       5.728504091443e-13      -4.092717363104e-15 
  154       6.295382793287e-10       1.659637250339e-13      -6.816630932714e-12       0.000000000000e+00       3.065809422045e-12       5.649250520250e-13      -4.030588130336e-15 
  155       6.341628201305e-10       1.650400146338e-13      -6.816135572109e-12       0.000000000000e+00       3.008452292551e-12       5.571614537943e-13      -3.968629137500e-15 
  156       6.387586276793e-10       1.640537682505e-13      -6.812062150260e-12       0.000000000000e+00       2.952537841521e-12       5.495492652776e-13      -3.906727521031e-15 
  157       6.433240921674e-10       1.630067068049e-13      -6.804369030752e-12       0.000000000000e+00       2.897998952365e-12       5.420770407631e-13      -3.844761912267e-15 
  158       6.478575517193e-10       1.619006734033e-13      -6.793016303140e-12       0.000000000000e+00       2.844760888259e-12       5.347322164828e-13      -3.782602279676e-15 
  159       6.523572914891e-10       1.607376352474e-13      -6.777965824611e-12       0.000000000000e+00       2.792741142932e-12       5.275010890941e-13      -3.720109771093e-15 
  160       6.568215427577e-10       1.595196855436e-13      -6.759181261651e-12       0.000000000000e+00       2.741849291458e-12       5.203687941611e-13      -3.657136555956e-15 
  161       6.612486036899e-10       1.582489994360e-13      -6.736628287134e-12       0.000000000000e+00       2.692005456206e-12       5.133225843887e-13      -3.593563397701e-15 
  162       6.656372155015e-10       1.569276934130e-13      -6.710275103708e-12       0.000000000000e+00       2.643197853024e-12       5.063620352892e-13      -3.529416436062e-15 
  163       6.699862179877e-10       1.555579570596e-13      -6.680092046536e-12       0.000000000000e+00       2.595430072546e-12       4.994897051060e-13      -3.464760478707e-15 
  164       6.742944305144e-10       1.541420996019e-13      -6.646051474085e-12       0.000000000000e+00       2.548702859691e-12       4.927079099465e-13      -3.399662215611e-15 
  165       6.785606516760e-10       1.526825516050e-13      -6.608127810503e-12       0.000000000000e+00       2.503014050095e-12       4.860187174453e-13      -3.334190234893e-15 
  166       6.827836589518e-10       1.511818666720e-13      -6.566297588002e-12       0.000000000000e+00       2.458358506557e-12       4.794239404269e-13      -3.268415038633e-15 
  167       6.869622083635e-10       1.496427231420e-13      -6.520539489237e-12       0.000000000000e+00       2.414728055473e-12       4.729251305693e-13      -3.202409058703e-15 
  168       6.910950341322e-10       1.480679257884e-13      -6.470834389688e-12       0.000000000000e+00       2.372111423279e-12       4.665235720666e-13      -3.136246672589e-15 
  169       6.951808483353e-10       1.464604075175e-13      -6.417165400043e-12       0.000000000000e+00       2.330494172884e-12       4.602202752928e-13      -3.070004219225e-15 
  170       6.992183405639e-10       1.448232310669e-13      -6.359517908575e-12       0.000000000000e+00       2.289858640115e-12       4.540159704642e-13      -3.003760014809e-15 
  171       7.032061775796e-10       1.431595907034e-13      -6.297879623526e-12       0.000000000000e+00       2.250183870154e-12       4.479111013031e-13      -2.937594368637e-15 
  172       7.071430029714e-10       1.414728139221e-13      -6.232240615487e-12       0.000000000000e+00       2.211445553974e-12       4.419058187005e-13      -2.871589598928e-15 
  173       7.110274368135e-10       1.397663631441e-13      -6.162593359781e-12       0.000000000000e+00       2.173615964782e-12       4.359999743795e-13      -2.805830048645e-15 
  174       7.148580753217e-10       1.380438374155e-13      -6.088932778839e-12       0.000000000000e+00       2.136663894456e-12       4.301931145584e-13      -2.740402101329e-15 
