# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.967645109154e-02       2.480560289515e+04 
       1.980735419314e-02       2.476542243556e+04 
       1.993832346565e-02       2.472425417926e+04 
       2.006936013115e-02       2.468145607625e+04 
       2.020046544259e-02       2.463794726885e+04 
       2.033164068438e-02       2.459456348137e+04 
       2.046288717307e-02       2.454924975078e+04 
       2.059420625801e-02       2.450284534937e+04 
       2.072559932200e-02       2.445463822970e+04 
       2.085706778199e-02       2.440666107074e+04 
       2.098861308985e-02       2.435825228514e+04 
       2.112023673309e-02       2.430748819149e+04 
       2.125194023562e-02       2.425636136655e+04 
       2.138372515859e-02       2.420461890962e+04 
       2.151559310117e-02       2.415197559470e+04 
       2.164754570143e-02       2.409853805315e+04 
       2.177958463719e-02       2.404439160494e+04 
       2.191171162697e-02       2.398930933060e+04 
       2.204392843087e-02       2.393341269787e+04 
       2.217623685155e-02       2.387669815363e+04 
       2.230863873524e-02       2.381946313072e+04 
       2.244113597274e-02       2.376132740581e+04 
       2.257373050049e-02       2.370247748568e+04 
       2.270642430165e-02       2.364308592655e+04 
       2.283921940721e-02       2.358337084215e+04 
       2.297211789718e-02       2.352214246426e+04 
       2.310512190176e-02       2.346139476030e+04 
       2.323823360255e-02       2.339927073840e+04 
       2.337145523388e-02       2.333603537653e+04 
       2.350478908406e-02       2.327254233268e+04 
       2.363823749676e-02       2.320889647855e+04 
       2.377180287240e-02       2.314429178203e+04 
       2.390548766959e-02       2.307928231890e+04 
       2.403929440661e-02       2.301377791907e+04 
       2.417322566294e-02       2.294787273014e+04 
       2.430728408084e-02       2.288138921927e+04 
       2.444147236701e-02       2.281501124673e+04 
       2.457579329423e-02       2.274676914307e+04 
       2.471024970313e-02       2.267881416196e+04 
       2.484484450399e-02       2.261038712428e+04 
       2.497958067857e-02       2.254175277115e+04 
       2.511446128206e-02       2.247232875664e+04 
       2.524948944505e-02       2.240265396618e+04 
       2.538466837555e-02       2.233289086120e+04 
       2.552000136116e-02       2.226237017394e+04 
       2.565549177122e-02       2.219151581377e+04 
       2.579114305907e-02       2.212023968596e+04 
       2.592695876443e-02       2.204872232706e+04 
       2.606294251575e-02       2.197680167042e+04 
       2.619909803281e-02       2.190474175732e+04 
       2.633542912920e-02       2.183220381656e+04 
       2.647193971510e-02       2.175944869133e+04 
       2.660863380001e-02       2.168646608768e+04 
       2.674551549560e-02       2.161313093470e+04 
       2.688258901875e-02       2.153995878538e+04 
       2.701985869458e-02       2.146574107969e+04 
       2.715732895967e-02       2.139203530897e+04 
       2.729500436536e-02       2.131772594035e+04 
       2.743288958121e-02       2.124291426588e+04 
       2.757098939851e-02       2.116874828783e+04 
       2.770930873403e-02       2.109329858881e+04 
       2.784785263379e-02       2.101836326863e+04 
       2.798662627710e-02       2.094299497879e+04 
       2.812563498062e-02       2.086749681775e+04 
       2.826488420269e-02       2.079191296640e+04 
       2.840437954777e-02       2.071615762161e+04 
       2.854412677105e-02       2.064031453732e+04 
       2.868413178324e-02       2.056429416999e+04 
       2.882440065559e-02       2.048812491271e+04 
       2.896493962509e-02       2.041192455033e+04 
       2.910575509982e-02       2.033557470971e+04 
       2.924685366459e-02       2.025911387608e+04 
       2.938824208682e-02       2.018288411173e+04 
       2.952992732256e-02       2.010595222840e+04 
       2.967191652288e-02       2.002962218698e+04 
       2.981421704044e-02       1.995250316639e+04 
       2.995683643638e-02       1.987573869325e+04 
       3.009978248751e-02       1.979885922593e+04 
       3.024306319376e-02       1.972196515858e+04 
       3.038668678596e-02       1.964536113101e+04 
       3.053066173407e-02       1.956833920179e+04 
       3.067499675555e-02       1.949105910435e+04 
       3.081970082437e-02       1.941409706422e+04 
       3.096478318017e-02       1.933708922064e+04 
       3.111025333801e-02       1.926036892912e+04 
       3.125612109848e-02       1.918343658968e+04 
       3.140239655831e-02       1.910635637442e+04 
       3.154909012145e-02       1.902913001009e+04 
       3.169621251066e-02       1.895215071688e+04 
       3.184377477972e-02       1.887521186376e+04 
       3.199178832607e-02       1.879842254799e+04 
       3.214026490428e-02       1.872145147967e+04 
       3.228921663992e-02       1.864477167871e+04 
       3.243865604434e-02       1.856801333044e+04 
       3.258859603005e-02       1.849125770592e+04 
       3.273904992689e-02       1.841449612512e+04 
       3.289003149904e-02       1.833781352018e+04 
       3.304155496290e-02       1.826141635273e+04 
       3.319363500587e-02       1.818493379508e+04 
       3.334628680615e-02       1.810845410043e+04 
       3.349952605351e-02       1.803194474118e+04 
       3.365336897123e-02       1.795565317388e+04 
       3.380783233924e-02       1.787947206107e+04 
       3.396293351842e-02       1.780356202002e+04 
       3.411869047632e-02       1.772757822906e+04 
